"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"21101",198,193,34
"37089",192,199,50
"47077",130,105,-42
"48213",79,569,-3
"18063",206,531,8
"12051",48,84,2
"27053",2635,4654,293
"51087",371,528,-51
"01067",67,116,-5
"13151",468,551,-52
"17073",89,94,-3
"18065",106,300,-8
"19087",302,187,-58
"21103",25,73,5
"29083",69,90,11
"39069",58,137,12
"47079",64,138,-8
"51089",104,135,-4
"36043",24,27,-2
"12053",250,372,-28
"37091",116,20,-22
"38041",15,44,5
"21105",5,28,1
"47081",123,127,-5
"29085",32,80,12
"35023",3,11,1
"48215",1938,1606,-294
"39071",20,201,4
"51091",1,1,1
"12055",153,255,-21
"30041",66,370,18
"48217",122,100,-20
"12057",2360,3149,-220
"33011",192,493,40
"26059",40,124,8
"28049",305,428,9
"08053",0,0,0
"31087",3,24,1
"39073",13,47,5
"48219",50,229,-6
"20083",6,9,4
"37093",211,139,47
